ID,Nombre,Grado,pag,Sector,Grado estandarizado
692,"Huella de Dácil, La",6c,61,Planeta Zarza,6c
693,"Huertita del Ortigal,, La",IV,69,Arico,IV
694,"Huguito el veiteañero, ..",7b+,132,Fantasma,7b+
695,"Hulk, La",7a+,38,La Galería,7a+
696,Huumm deliciosa,6a+,181,Las Barbas de San Pedro,6a+
697,Hylunnanub,6C+,37,La Galería,6C+
698,In memoriam,6a,59,Planeta Zarza,6a
699,Incendio forestal,6c+,180,Las Barbas de San Pedro,6c+
700,Indecisiones,6a+,260,El Capricho,6a+
701,Independencia,6c+,37,La Galería,6c+
702,"Inescalable, La",8a,171,Zona Zero,8a
703,Iniciación,V-,85,Arico,V-
704,"Insurjente Pablo, El",8a,89,Arico,8a
705,"Interminable, La",6a,47,Tamadaya,6a
706,Intersticio de terciopelo,6c,113,La Fuente,6c
707,Introducción a los 3 P,IV+,217,La Martela,IV+
708,Jack Sparrow,V,221,La Martela,V
709,Jala por el resuello,8a,91,Arico,8a
710,Jamming too,7a,113,La Fuente,7a
711,"Jamonica, La",V+,144,Hoyo,V+
712,Jaque mate,8b+/+,235,Guaria,8B+
713,Jardinero vertical,6b,211,Las Palomas,6b
714,"Jarris, Los",8c+,88,Arico,8c+
715,Javi y su pandilla,6c,229,Guaria,6c
716,"Jipi del Opel Astra, El",6C,98,Arico,6C
717,Joe peta,6C,87,Arico,6C
718,José-Isa,V,229,Guaria,V
719,Juanegele,6c+,63,Planeta Zarza,6c+
720,Juego de Tronos,V,125,Fantasma,V
721,Jueves kultural,7a+,162,El Río,7a+
722,Julián Jesús Rivero,6c,197,Las Vegas,6c
723,No repercute,6a,250,El Capricho,6a
724,No seas perro,¿?,88,Arico,NA
725,No sin mi hilti,7a+,38,La Galería,7a+
726,No te eskakees,6b+,255,El Capricho,6b+
727,No-Tpts,6c,211,Las Palomas,6c
728,Noches de coral,6a+,82,Arico,6a+
729,"Normal, La",6a,30,Fasnia,6a
730,Nos dieron el pego,¿?,248,El Capricho,NA
731,November trail,6a+,59,Planeta Zarza,6a+
732,Nui-nui,V,134,Fantasma,V
733,Nunca más,7a,92,Arico,7a
734,Oferta impacto,6c+,106,Los Naranjos,6c+
735,Ojitos escondidos,6b+,208,Las Palomas,6b+
736,Ojitos que todo lo ven,6c,200,Las Vegas,6c
737,Ojo del diablo,7a,254,El Capricho,7a
738,Oligoelementos,6a,73,Arico,6a
739,Omega,6a,144,Hoyo,6a
740,On the edge,7b,94,Arico,7b
741,One way,6a,63,Planeta Zarza,6a
742,ONG,7a+,106,Los Naranjos,7a+
743,"Opción, La",7b,37,La Galería,7b
744,Operación rescate,6c+,230,Guaria,6c+
745,Oposición a canarión,V+,219,La Martela,V+
746,Orient express,"6c+, 7b",235,Guaria,"6c+, 7b"
747,"Origen del mundo, El",6b,61,Planeta Zarza,6b
748,Ortodoxo,6c,82,Arico,6c
749,Otra del guiri,V+,105,Los Naranjos,V+
750,Oye frudis!!,6a+,77,Arico,6a+
751,Pa'empezar,V,85,Arico,V
752,Pa'los pollos,6c,77,Arico,6c
753,Paccha,IV,69,Arico,IV
754,Pajaritos fritos,7a,132,Fantasma,7a
755,Palabras mayores,7b,142,Hoyo,7b
756,Palique palicoso,V+,259,El Capricho,V+
757,"Paloma exhumada, La",6a+,127,Fantasma,6a+
758,"Palomo mensajero, El",6b+,134,Fantasma,6b+
759,Pan biscochao,7a,259,El Capricho,7a
760,Panamericana,6c+,230,Guaria,6c+
761,Papas locas,6b,181,Las Barbas de San Pedro,6b
762,Papeo chachi,6b+,73,Arico,6b+
763,Papeo chungo,6b,73,Arico,6b
764,Papi chola,V,70,Arico,V
765,Papi chulo,V+,70,Arico,V+
766,Paquita style,6a,48,Tamadaya,6a
767,Paquito gigoló,6c,78,Arico,6c
768,Para calentar,6a,173,Zona Zero,6a
769,Paranoia,8a,239,Guaria,8a
770,"Parapeteados, Los",6a,125,Fantasma,6a
771,Pardela free,7a+,157,El Río,7a+
772,Party flow,7a+,23,Fasnia,7a+
773,Pasión por el ruido,6b,89,Arico,6b
774,Pastel de chapas,6a+,196,Las Vegas,6a+
