ID,Nombre,Grado,pag,Sector,Grado estandarizado
1, menos roko + roca,6a+,207,Las Palomas,6a+
2,Agüita!!,7a+,88,Arico,7a+
3,Ay chiquilla!,7a,78,Arico,7a
4,¡Cállate y escala!,6c+/+,113,La Fuente,6C
5,¡Vamos Yeri!,6a,47,Tamadaya,6a
6,Trajiste el 4?,V+,46,Tamadaya,V+
7,"13-14, La",6c/+,172,Zona Zero,6C
8,"3P, Los",V,217,La Martela,V
9,"38, La",6c,171,Zona Zero,6c
10,"4° Chakra, El",7a+,248,El Capricho,7a+
11,5.12a,6c+,235,Guaria,6c+
12,"5° de Manolito, El",6b+,29,Fasnia,6b+
13,6a+ o mas,6b+,39,La Galería,6b+
14,A la quinta el V,V+,188,Las Barbas de San Pedro,V+
15,A la sombra de Magec,6c,196,Las Vegas,6c
16,A la sombra del almácigo,6b,221,La Martela,6b
17,A lanjarón por un jamón,6a+,72,Arico,6a+
18,A pesar de...,6b+,211,Las Palomas,6b+
19,A punto de ebullición,6a,79,Arico,6a
20,A saco Paco,7b,99,Arico,7b
21,A simple vista,7a,61,Planeta Zarza,7a
22,A tomar por culo,7b+,154,El Río,7b+
23,"Aaaashh, 2014?",6a,186,Las Barbas de San Pedro,6a
24,Abandonado por la adherencia,6a+,179,Las Barbas de San Pedro,6a+
25,"Abejaruco, El",6b+,106,Los Naranjos,6b+
26,Abejas asesinas,6b,27,Fasnia,6b
27,Abuaj!! El diablo,7b+,88,Arico,7b+
28,Acción-reacción,7c+/+,154,El Río,7C
29,"Acebuche, El",V-,159,El Río,V-
30,Aceitunas,6c,73,Arico,6c
31,Acoso anal,6b,199,Las Vegas,6b
32,Adaptarse o morir,6a+,198,Las Vegas,6a+
33,Adargoma,7b+,235,Guaria,7b+
34,Adelante gachetobrazo,6c+,129,Fantasma,6c+
35,Adiós pico pato,6a+,217,La Martela,6a+
36,"Adonis, El",6b,61,Planeta Zarza,6b
37,Afán de protagonismo,6b,24,Fasnia,6b
38,Agárramela bien,6c,89,Arico,6c
39,Agente naranja,6c,145,Hoyo,6c
40,Ahi estás en mal sitio,6b,182,Las Barbas de San Pedro,6b
41,Al final voló,V,207,Las Palomas,V
42,Al huerto,6b,93,Arico,6b
43,Al loro con el berolo,V+,143,Hoyo,V+
44,Al natural,V+,220,La Martela,V+
45,Al pil pil,6b,159,El Río,6b
46,Alcohol etilico,"7c,6c",240,Guaria,"7c,6c"
47,"Alfombra voladora, La",V+/+,247,El Capricho,V+
48,Alfred J.Kwac,7a,87,Arico,7a
49,Algo decente,6b+,262,El Capricho,6b+
50,Alguien palmó,6b,75,Arico,6b
51,Alguien voló sobre el ..,8a,77,Arico,8a
52,Alienigena,V,49,Tamadaya,V
53,Alli no es mejor que aqui,7C,172,Zona Zero,7C
54,Alma de doble filo,6a+,48,Tamadaya,6a+
55,Alpinistas de las aristas,6a+,106,Los Naranjos,6a+
56,Alta traición,7a,237,Guaria,7a
57,Alucina con mi vecina,6c,75,Arico,6c
58,Alucines power,6b,105,Los Naranjos,6b
59,Alzheimer total,6b+,116,La Fuente,6b+
60,Amistad,6b,50,Tamadaya,6b
61,Amistades peligrosas,iv+,249,El Capricho,iv+
62,Análisis final,7a,99,Arico,7a
63,Anarkia en el planeta,7a,75,Arico,7a
64,Anarkia en el sector,7c+,39,La Galería,7c+
65,Anarkia tropical,7c+,156,El Río,7c+
66,Ancas de rana,6c,129,Fantasma,6c
67,Andrés pruébala otra vez,8a,257,El Capricho,8a
68,Anikilator,7b,91,Arico,7b
69,Anmarillo,6b,255,El Capricho,6b
70,Apreta,7b,81,Arico,7b
71,Apreta o retirate,¿?,141,Hoyo,NA
72,Aquí no hay V pa'nadie,6a+/+,188,Las Barbas de San Pedro,6A+
73,"Araucaria, La",6a,59,Planeta Zarza,6a
74,"Arbolito, El",V,51,Tamadaya,V
75,"Arbolito, El",6c+,145,Hoyo,6c+
76,Arco de Achacay. El,6b+,27,Fasnia,6b+
77,Argollita chachi,6b,262,El Capricho,6b
78,Argollita chunga,6c+,262,El Capricho,6c+
79,Arico power,8a,91,Arico,8a
80,Arizona,6b+,141,Hoyo,6b+
81,Aroa,6a+,145,Hoyo,6a+
82,Arrimate pa’lla,7a,162,El Río,7a
83,Arroyito,6b+/+,173,Zona Zero,6B+
84,Artificial,¿?,254,El Capricho,NA
85,Artificial Ruso-Ruyman,¿?,239,Guaria,NA
86,Artifo Triple cero,V+,188,Las Barbas de San Pedro,V+
87,Asi pone el ayuntamiento...,V-,124,Fantasma,V-
88,Asin no,6a,255,El Capricho,6a
89,Asoma la cabecita,6b,31,Fasnia,6b
90,"Aspirina, La",¿?,76,Arico,NA
91,Ataud pa'seis,6c+,89,Arico,6c+
92,ATP,8a,141,Hoyo,8a
93,Atrapado en la noche,7a,97,Arico,7a
94,Aureola no me toques la pirola,6c+,251,El Capricho,6c+
95,Aussie Oi,V-,45,Tamadaya,V-
96,Auto-confianza,6c+,23,Fasnia,6c+
97,Autoexpansivo,6C,93,Arico,6C
98,Avispate!! uña negra,7a,89,Arico,7a
99,Awanac,6c,197,Las Vegas,6c
100,Ayla y su Clan,6b+/+,185,Las Barbas de San Pedro,6B+
101,Babylon,7b+,63,Planeta Zarza,7b+
102,Ballando sobre el canal,6b,105,Los Naranjos,6b
103,Baile de salón,6C,197,Las Vegas,6C
104,Balate strong,6c,93,Arico,6c
105,Balcón Canario,v+,199,Las Vegas,v+
106,Bananas,7b,260,El Capricho,7b
107,"Banda del cojo, La",6c+,76,Arico,6c+
108,"Bañera asesina, La",6c+,173,Zona Zero,6c+
109,Barrio conflictivo,6b,87,Arico,6b
110,"Basca ataca duro, La",6c+,89,Arico,6c+
111,Batracio,6b+,84,Arico,6b+
112,Bautizo tardio,6a+,179,Las Barbas de San Pedro,6a+
113,Bavaresa,V,255,El Capricho,V
114,"Bavaresa me tiro, La",6a+,51,Tamadaya,6a+
115,Bavaresing,V,61,Planeta Zarza,V
116,Bazuka pum,7b+,230,Guaria,7b+
117,"Becaria, La",V,125,Fantasma,V
118,Behind the musgo,6c/+,173,Zona Zero,6C
119,Berberechos al natural,6c+,81,Arico,6c+
120,"Bichorro, El",6b,72,Arico,6b
121,Bienvenido a Guaria,"7a,7b",235,Guaria,"7a,7b"
122,Big dimensions,8a+,38,La Galería,8a+
123,Big Fantasy,6c+,63,Planeta Zarza,6c+
124,Bioblast,7b+,257,El Capricho,7b+
125,"Bisteles de Isabel, Los",6c,28,Fasnia,6c
126,Bitelchus,6c,255,El Capricho,6c
127,Black day,6c,99,Arico,6c
128,Bloque,V+,95,Arico,V+
129,Bloque,6b+,254,El Capricho,6b+
130,Bloque +85,8a+,77,Arico,8a+
131,Bobo,6a,260,El Capricho,6a
132,Boncho en Las Américas,6b,263,El Capricho,6b
133,Botones Ecrin,6c+/+,188,Las Barbas de San Pedro,6C+
134,Boulderillo,V+,261,El Capricho,V+
135,Bovino porcino,8b,88,Arico,8b
136,Braguitas caladas,6c,261,El Capricho,6c
137,Brin Bryn,7a+,169,Zona Zero,7a+
138,"Brújula, La",V+,250,El Capricho,V+
139,Brutopía,7a,24,Fasnia,7a
140,Bubangos cream,7c+/+,91,Arico,7C+
141,"Buchón del palomar, El Bueno, el feo y el malo, El",7a,211,Las Palomas,7a
142,"Bueno, el feo y el malo, EL",8a,77,Arico,8a
143,"Búho, El",V,47,Tamadaya,V
144,Buscando enemigos,"7c+,?,7a, 6b",239,Guaria,"7c+,?,7a, 6b"
145,Cabecita loca,¿?,197,Las Vegas,NA
146,Cabeza de perro,6c+,23,Fasnia,6c+
147,Cabo cañaveral dcha,6c+,93,Arico,6c+
148,Cabo canaveral izda.,6c+,93,Arico,6c+
149,"Cabra loca, La",v,219,La Martela,v
150,Cabrolina,7b+,88,Arico,7b+
151,Café caliente y duro,6b+,237,Guaria,6b+
152,Caldo paloma,6c+,208,Las Palomas,6c+
153,Callejón escuro,6b,260,El Capricho,6b
154,"Calvario del Camborio, ElI",7c/+,88,Arico,7C+
155,Calzoncillo sospechoso,6b+,197,Las Vegas,6b+
156,Calzoncillos alondrados,6a+,51,Tamadaya,6a+
157,Cambio generacional,7c,63,Planeta Zarza,7c
158,Caminante no hay camino,6b,45,Tamadaya,6b
159,"Camino de las palomas, El",6a,115,La Fuente,6a
160,"Camino de los escoceses, EI",6b,171,Zona Zero,6b
161,"Camino de los ingleses, El",6b+,171,Zona Zero,6b+
162,"Camión de la basura, El",6c,252,El Capricho,6c
163,Canal pop,6c+,106,Los Naranjos,6c+
164,"Canalillo, El",6c,162,El Río,6c
165,"Canalizo, EI",v,250,El Capricho,v
166,"Canalón del guiri, El",6a,262,El Capricho,6a
167,Canalón penetrante,IV+,249,El Capricho,IV+
168,Canarian creek,7a+,60,Planeta Zarza,7a+
169,Canarina - Canadiensis,V-,133,Fantasma,V-
170,Canarios a la vizcaina,7b+,91,Arico,7b+
171,Cando 37,7c+,91,Arico,7c+
172,"Canto de la peseta, El",6c,200,Las Vegas,6c
173,Cantrans,7B+,237,Guaria,7B+
174,"Capricho del nene, El",6a,261,El Capricho,6a
175,Capricornio,V+,230,Guaria,V+
176,Capsulitis,6c,75,Arico,6c
177,Capullos evolutivos,6a+,153,El Río,6a+
178,"Cara del mono, La",7b+,99,Arico,7b+
179,"Cara del mono, La",6c,251,El Capricho,6c
180,"Carabela del placer, La",6b+,93,Arico,6b+
181,"Caravela del sur, La",6b,37,La Galería,6b
182,"Cardoncillo, El",V,127,Fantasma,V
183,"Cardumen, El",6a+,126,Fantasma,6a+
184,Caricias cefalopadas,6a,50,Tamadaya,6a
185,Carles Puigdemont,8b+/+,240,Guaria,8B+
186,"Carnal 08, La",6c,207,Las Palomas,6c
187,Carnaval amargo,IV,218,La Martela,IV
188,Carnaval Guaria,8a,240,Guaria,8a
189,Carnet de piloto,6b+,127,Fantasma,6b+
190,"Cartuchos, Los",6c+,39,La Galería,6c+
191,Carvi,6c,128,Fantasma,6c
192,Casca la basca,6a,84,Arico,6a
193,Casi imosible,6c+,123,Fantasma,6c+
194,Casi me mato,7b,162,El Río,7b
195,Casper,6c+,129,Fantasma,6c+
196,"Cazoletas, Las",V,159,El Río,V
197,"Cedro, El",6a,47,Tamadaya,6a
198,Cefalópodo,7b+,94,Arico,7b+
199,"Central, La",6c+,155,El Río,6c+
200,"Cepillo martillo, EI",6b,207,Las Palomas,6b
201,Cenicalia,6b,145,Hoyo,6b
202,Cero a la izquierda,6a,260,El Capricho,6a
203,Cero en indioma,IV+,182,Las Barbas de San Pedro,IV+
204,Cero energético,6b,247,El Capricho,6b
205,Cerys Davies,7a,162,El Río,7a
206,"Chacha, La",6a,26,Fasnia,6a
207,Chafran,6c,116,La Fuente,6c
208,Chain bicicleta,7b+,253,El Capricho,7b+
209,Chalk less; climb more,6b+,59,Planeta Zarza,6b+
210,Chamoy,6a+,113,La Fuente,6a+
211,Chamoy II,6a+/+,113,La Fuente,6A+
212,Chamoy III,6b,116,La Fuente,6b
213,Chapa y sigue,7a+,141,Hoyo,7a+
214,Chapita lejana,6c,263,El Capricho,6c
215,Chapita viejita,6a,218,La Martela,6a
216,Chechawen,¿?,240,Guaria,NA
217,Chicho terremoto,6b+,159,El Río,6b+
218,Chikito un tostero,6c+,235,Guaria,6c+
219,Chimenea de los catalanes,IV+,250,El Capricho,IV+
220,Chimenéamela,6b+,24,Fasnia,6b+
221,Chimiche antivicio,7a+,198,Las Vegas,7a+
222,Chinyero,8a+,157,El Río,8a+
223,Chiquitita,IV,49,Tamadaya,IV
224,"Chivato del Ortigal, El",6c+,233,Guaria,6c+
225,Chochipolvi,6a,125,Fantasma,6a
226,Chochito antipático,6c,198,Las Vegas,6c
227,"Chochona, La",7b,38,La Galería,7b
228,Choloman,6C,31,Fasnia,6C
229,Chulo de turno,7a,89,Arico,7a
230,Chuminito flajeloso,7a,95,Arico,7a
231,Chuminito profundo,6c,262,El Capricho,6c
232,"Chunga, La",6C+,259,El Capricho,6C+
233,Chungo chungo ramalaso,6C+,93,Arico,6C+
234,Chute de bioblast,7b+,106,Los Naranjos,7b+
235,Ciclogénesis explosiva,8a,129,Fantasma,8a
236,Ciclogénesis explosiva,6C,208,Las Palomas,6C
237,"Cikatriz, Los",7?,92,Arico,7?
238,"Círculo de energia, El",7c,172,Zona Zero,7c
239,Cirrosis,7a+,37,La Galería,7a+
240,Claro loco,6c,173,Zona Zero,6c
241,Clase obrera,"6c, A2+?,A2",239,Guaria,"6c, A2+?,A2"
242,"Clásica, La",6a,153,El Río,6a
243,"Cleta, La",V,45,Tamadaya,V
244,Cocacolo,7c,106,Los Naranjos,7c
245,Coitus interruptus,7a,257,El Capricho,7a
246,Cojones desplazados,6b+,106,Los Naranjos,6b+
247,"Colgados, Los",6b,199,Las Vegas,6b
248,"Colgados, Los",6a,200,Las Vegas,6a
249,"Colmillo de post, El",7a+,113,La Fuente,7a+
250,Comando 25,7a,233,Guaria,7a
251,Comando conejo,6a,63,Planeta Zarza,6a
252,Comando conejo,V+,74,Arico,V+
253,Comando Madrid,7a,74,Arico,7a
254,Comando suicida,6b,208,Las Palomas,6b
255,Comic,7c,248,El Capricho,7c
256,Comienzo de una larga.... El,V,115,La Fuente,V
257,Comisario antidoping,7a+,77,Arico,7a+
258,"Communité, La",6a,27,Fasnia,6a
259,Como el caballo de Atila,¿?,159,El Río,NA
260,Como marca la ley,6c+,87,Arico,6c+
261,Como mi hijo Diego dijo,7b,99,Arico,7b
262,Como quieras,7a,93,Arico,7a
263,Cómprate un frelax,7a,76,Arico,7a
264,Cómprate una brújula,6a+,207,Las Palomas,6a+
265,Compromiso sin permiso,6c,37,La Galería,6c
266,Con un par de friends,6a,133,Fantasma,6a
267,Conato de incendio,6c,211,Las Palomas,6c
268,Conexión Guaria,"7c+,7c, 7b+",240,Guaria,"7c+,7c, 7b+"
269,"Contorsionista, El",6c/+,130,Fantasma,6C
270,"Contractura, La",6c,247,El Capricho,6c
271,"Contrato del zapatero, El",6b,76,Arico,6b
272,Control mental,6b+,74,Arico,6b+
273,"Controversia, La",6a+,59,Planeta Zarza,6a+
274,"Copa de la vida, La",8a+,240,Guaria,8a+
275,Corazón de metal,6a,85,Arico,6a
276,Corazón de piedra,7a,153,El Río,7a
277,Cosas de quita y pon,6b,159,El Río,6b
278,"Covijona, La",6a,31,Fasnia,6a
279,Coyote cojo,6b,229,Guaria,6b
280,"Croqueta, La",V+,45,Tamadaya,V+
281,Cross over,6a,49,Tamadaya,6a
282,Cuajada de pus,6c,255,El Capricho,6c
283,Cuanta chapa y yo que viejo,6c,95,Arico,6c
284,"Cuarto de las chicas, El",V,155,El Río,V
285,Cucharachas en Bajamar,6b,229,Guaria,6b
286,Cuerpazo,7a,63,Planeta Zarza,7a
287,Curri,6b,260,El Capricho,6b
288,Cuscus el copiloto,8c+,38,La Galería,8c+
289,Cuyagua,6c+,145,Hoyo,6c+
290,Dan Osman Proj.,¿?,240,Guaria,NA
291,Dando botitos,6c,253,El Capricho,6c
292,Dankeschön,6c,105,Los Naranjos,6c
293,Danonemagarro,6c+,262,El Capricho,6c+
294,Danza vertical,6c,222,La Martela,6c
295,Dario,7a+,171,Zona Zero,7a+
296,David Franchy,6a+,114,La Fuente,6a+
297,David-Fran,6C+,208,Las Palomas,6C+
298,De aki pa'l limbo,6c+/+,81,Arico,6C+
299,"De la tubería, La",6a+,221,La Martela,6a+
300,De madrugada NO me llames,6a+,185,Las Barbas de San Pedro,6a+
301,De otro guiri,6b,106,Los Naranjos,6b
302,De relleno,V,37,La Galería,V
303,De Rubén,7b+,248,El Capricho,7b+
304,Debajo del puente,7a+,99,Arico,7a+
305,Dejavú,V,50,Tamadaya,V
306,Del guiri,6a,105,Los Naranjos,6a
307,"Del guiri, La",V+,159,El Río,V+
308,Del hoyo al jolgorio,6b+,23,Fasnia,6b+
309,"Del viruje, La",6a,46,Tamadaya,6a
310,Denominación de origen,7c,211,Las Palomas,7c
311,Departamento narcóticos,7a+,230,Guaria,7a+
312,Deporalpina,6b,132,Fantasma,6b
313,Depredadora,6a+,143,Hoyo,6a+
314,"Derecha, La",6C,155,El Río,6C
315,"Desafio de las cucarachas, El",7b+,106,Los Naranjos,7b+
316,"Desastre del invasor, El",6b,73,Arico,6b
317,"Descanso de la retama, El",6b+,200,Las Vegas,6b+
318,Desentrenado en un santiamén,7b,28,Fasnia,7b
319,Desequilibrio ganso,7a,76,Arico,7a
320,Despilfarrando la vida,6c,23,Fasnia,6c
321,Desplome antidepresiones,7c,28,Fasnia,7c
322,Desprecion a la envergadura,V,70,Arico,V
323,"Destrepe, El",IV,229,Guaria,IV
324,Destrozo de titanes,7b,248,El Capricho,7b
325,"Dia de la bestia, El",7c+,240,Guaria,7c+
326,Día sin agua,6a+,48,Tamadaya,6a+
327,Días de calor,6b,160,El Río,6b
328,Diedro central,6a,199,Las Vegas,6a
329,Diedro de los picos,6a,200,Las Vegas,6a
330,Diedro del barro,6a,200,Las Vegas,6a
331,"Diedro del bizco, El",6a,52,Tamadaya,6a
332,"Diedro del clavo rojo, El",V+,252,El Capricho,V+
333,"Diedro final, EI",6a,200,Las Vegas,6a
334,"Diedro Guanche, El",7b+,157,El Río,7b+
335,Diedro negro,"6a+, 6b+",235,Guaria,"6a+, 6b+"
336,"Diedro, El",V+,84,Arico,V+
337,Diez años después,6b+,230,Guaria,6b+
338,"Dignidad de los mayores, La","A2+JV+A1, A3+",240,Guaria,"A2+JV+A1, A3+"
339,"Dihedral, The",V,46,Tamadaya,V
340,Dinamic girl,6c,153,El Río,6c
341,"Diosa Tara, La",6b+,105,Los Naranjos,6b+
342,"Directa, La",7a,75,Arico,7a
343,"Discoteque, La",6b+,126,Fantasma,6b+
344,"Disputa, La",6b+,160,El Río,6b+
345,Distorsión craneal,6b+,74,Arico,6b+
346,Distorsión total,V+,73,Arico,V+
347,Dj. Gallego,7b+,95,Arico,7b+
348,Do the right thing,8a,91,Arico,8a
349,Doble turno,7a+,162,El Río,7a+
350,Dónde coño está el cepillo,6b,29,Fasnia,6b
351,Dónde estás tas tas,6b+,24,Fasnia,6b+
352,Donnez mois la persoise,V+,45,Tamadaya,V+
353,Dos huesos,7b,39,La Galería,7b
354,Dos pardillos y un bordillo,6c+,160,El Río,6c+
355,Dos talegos y medio,6c+,76,Arico,6c+
356,Dragodependientes,¿?,146,Hoyo,NA
357,"Dragon back, The",6a,52,Tamadaya,6a
358,Duda razonable,6c,198,Las Vegas,6c
359,Dudo,7b,260,El Capricho,7b
360,Dudoso privilegio,6c+,198,Las Vegas,6c+
361,Dulce revolcón,6b,77,Arico,6b
362,Ecce Homo,7b,59,Planeta Zarza,7b
363,Échate un twist,6a,207,Las Palomas,6a
364,"Edad del pavo, La",6b/+,49,Tamadaya,6B
365,Efecto Atarjea,6b+,106,Los Naranjos,6b+
366,Efecto invernadero,6C,146,Hoyo,6C
367,Efecto lapa,6b,48,Tamadaya,6b
368,Egocentrismo,7b,23,Fasnia,7b
369,Eigerband,6b,260,El Capricho,6b
370,Elemento barriada,6a+,76,Arico,6a+
371,Elixir,6b+,113,La Fuente,6b+
372,Emocionate todo,6a+,196,Las Vegas,6a+
373,Empuja los machos,6a+,262,El Capricho,6a+
374,En busca de alianza perdida,V,128,Fantasma,V
375,En busca y captura,6a+,160,El Río,6a+
376,En cuerda fija,6b+,237,Guaria,6b+
377,En este angulito perdi el pito ,6b+,255,El Capricho,6b+
378,En este bordillo perdi el frenillo,6a,255,El Capricho,6a
379,"Enanito impotente, El",6a,81,Arico,6a
380,Enchufala como puedas,6a,133,Fantasma,6a
381,"Encrucijada, La",6a,160,El Río,6a
382,"Enemigos, Los",7c+,157,El Río,7c+
383,Enemistad,6b,50,Tamadaya,6b
384,"Energúmeno, El",7a+,233,Guaria,7a+
385,"Enterado, El",7a,155,El Río,7a
386,Entrada directa,7b+,96,Arico,7b+
387,Entrada Peláez,¿?,155,El Río,NA
388,Entrando en onda,"V-, A2, V+",237,Guaria,"V-, A2, V+"
389,Equinoccio,8a,162,El Río,8a
390,Equipalaya,6b,195,Las Vegas,6b
391,Érase una vez,6b,154,El Río,6b
392,Es lo más bomba,V,207,Las Palomas,V
393,Escalando descalzo,V+,47,Tamadaya,V+
394,Escaleitor,6b,145,Hoyo,6b
395,"Escalera, La",V+,115,La Fuente,V+
396,Escalibur,7a/+,26,Fasnia,7A
397,Escarabajo trompeta,6a,183,Las Barbas de San Pedro,6a
398,"Escudo del guerrero, El",7a,75,Arico,7a
399,Escuela de calor,8a+,235,Guaria,8a+
400,"Escuela de la vida, La",V+,115,La Fuente,V+
401,Esencia de trementina,6a+,198,Las Vegas,6a+
402,"Eslabón perdido, El",7a+,154,El Río,7a+
403,Esparrama la vista,6a+,207,Las Palomas,6a+
404,Espíritu constructivo,6C+,143,Hoyo,6C+
405,Espolón bolsón,7a+,237,Guaria,7a+
406,Espolón chasnero,6b+,25,Fasnia,6b+
407,"Espolón de Reno, El",6b,127,Fantasma,6b
408,Espolón del fino,6b+,255,El Capricho,6b+
409,"Espolón del guiri, El",¿?,259,El Capricho,NA
410,Espolón del rampa,6a,70,Arico,6a
411,Espolón del sol,6b+,251,El Capricho,6b+
412,Espolón fantasma,6a+,134,Fantasma,6a+
413,Espolón rabiche,7a+,211,Las Palomas,7a+
414,"Espolón rompido, El",6b,200,Las Vegas,6b
415,Espolón Tahiche,6C+,230,Guaria,6C+
416,"Espolón Walker de Guaria, El",6b+,233,Guaria,6b+
417,"Espolón, El",6c,155,El Río,6c
418,"Esquina del viento, La",IV,260,El Capricho,IV
419,Estás en la parra,6b+,153,El Río,6b+
420,Estela plateada,8a+,171,Zona Zero,8a+
421,Esto es Fasnia,6c,31,Fasnia,6c
422,Esto no es Arico,7A,208,Las Palomas,7A
423,Esto no viene en lata,6c,208,Las Palomas,6c
424,Euforia Canariensis,7c+,39,La Galería,7c+
425,Eva no quería,7a+,262,El Capricho,7a+
426,Examen de grado,6a+/+,182,Las Barbas de San Pedro,6A+
427,Excusas en la mente,¿?,162,El Río,NA
428,Éxtasis con mostaza,6b+,195,Las Vegas,6b+
429,Ezquizofrenia trascendental,6c,233,Guaria,6c
430,Falta de profesionalidad,6a+,247,El Capricho,6a+
431,Fantasmagoria,6b+,89,Arico,6b+
432,Fantasy,6b,61,Planeta Zarza,6b
433,Fareman,7b,106,Los Naranjos,7b
434,Fátima,8b+,88,Arico,8b+
435,Fecas-moj,6a,50,Tamadaya,6a
436,Feldespatos,7b,114,La Fuente,7b
437,Fermenteos lácteos,6b+,91,Arico,6b+
438,Fiesta,V+,128,Fantasma,V+
439,Fiesta dance White Zombie,7a+,98,Arico,7a+
440,"Filósofo, El",V,133,Fantasma,V
441,Fin de año,6c+,162,El Río,6c+
442,Fingerlock,V+,159,El Río,V+
443,Finuco,6a,159,El Río,6a
